actual_data,error,left_motor_powers,right_motor_powers
975,-3,49,50
974,-2,49,50
930,42,52,47
950,22,51,48
929,43,52,47
905,67,54,45
907,65,55,44
958,14,52,47
925,47,54,45
928,44,55,44
1002,-30,51,48
1045,-73,48,51
1067,-95,46,53
1047,-75,46,53
1033,-61,46,53
1042,-70,45,54
1030,-58,45,54
1020,-48,45,54
1044,-72,43,56
1000,-28,45,54
951,21,48,51
950,22,48,51
928,44,50,49
927,45,50,49
927,45,51,49
949,23,50,49
949,23,50,49
927,45,51,48
951,21,50,49
998,-26,48,51
1045,-73,45,54
1022,-50,45,54
1022,-50,45,54
979,-7,47,52
982,-10,47,52
1021,-49,44,55
973,-1,47,52
957,15,48,51
954,18,48,51
952,20,48,51
929,43,50,49
966,6,48,51
952,20,49,50
931,41,50,49
930,42,51,48
976,-4,49,50
1026,-54,45,54
1054,-82,43,56
1000,-28,46,53
987,-15,46,53
973,-1,47,52
950,22,48,51
930,42,50,49
927,45,50,49
998,-26,46,53
1036,-64,44,55
976,-4,47,52
918,54,50,49
903,69,52,47
933,39,51,48
974,-2,49,50
1018,-46,46,53
1000,-28,47,52
974,-2,48,51
976,-4,48,51
974,-2,48,51
974,-2,48,51
997,-25,46,53
1025,-53,44,55
1022,-50,44,55
1025,-53,43,56
996,-24,45,54
933,39,48,51
908,64,50,49
883,89,52,47
882,90,53,46
931,41,51,48
973,-1,49,50
1004,-32,47,52
1021,-49,46,53
997,-25,47,52
980,-8,47,52
965,7,48,51
997,-25,46,53
983,-11,47,52
952,20,49,50
964,8,48,51
972,0,48,51
1053,-81,43,56
1022,-50,44,55
986,-14,46,53
932,40,49,50
936,36,49,50
975,-3,47,52
981,-9,47,52
999,-27,45,54
970,2,47,52
952,20,48,51
951,21,48,51
971,1,47,52
976,-4,47,52
975,-3,47,52
973,-1,47,52
975,-3,47,52
973,-1,47,52
996,-24,46,53
1003,-31,45,54
997,-25,45,54
973,-1,46,53
957,15,47,52
956,16,47,52
928,44,49,50
930,42,50,49
927,45,50,49
952,20,49,50
975,-3,48,51
977,-5,48,51
973,-1,48,51
975,-3,48,51
951,21,49,50
977,-5,48,51
1019,-47,45,54
1021,-49,45,54
1045,-73,43,56
1045,-73,42,57
986,-14,45,54
952,20,47,52
929,43,48,51
929,43,49,50
926,46,49,50
928,44,50,49
951,21,49,50
951,21,49,50
952,20,49,50
952,20,49,50
953,19,50,50
995,-23,47,52
999,-27,47,52
1021,-49,45,54
999,-27,46,53
997,-25,46,53
977,-5,47,52
955,17,48,51
949,23,49,50
994,-22,46,53
997,-25,46,53
973,-1,47,52
950,22,48,51
948,24,49,50
979,-7,47,52
